"Sample","ID","Timestamp","Berlin","Paris","London","Barcelona","Madrid","Rome","Stockholm","Amsterdam","Prague","Budapest","Lisbon","Brussels","Vienna","StPetersburg","Krakow","Riga","Istanbul","Geneva","Athens","Dublin","Purpose1","Purpose2","Purpose3","Purpose4","Purpose5","Purpose_Other","With_Whom_1","With_Whom_2","With_Whom_3","With_Whom_4","With_Whom_5","Number_of_Trips","Avg_Budget","Age","Gender","Nationality","CurrentCity","Occupation","PartnershipStatus","id_unique"
3,11,"3/1/2016 23:50",1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,"",1,1,0,0,0,3,3,55,"Female","German, Amer","Berlin","Master student","single",76
3,12,"4/1/2016 13:02",1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,"",1,1,1,0,1,5,1,25,"Male","German","Berlin","Master student","in a relationship.",77
3,13,"4/1/2016 17:16",1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,"",0,1,1,0,0,4,1,26,"Male","German","Berlin","Master student","single",78
3,14,"5/1/2016 0:12",1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,"",0,1,0,0,1,3,2,24,"Female","German","Berlin","Bachelor student","single",79
3,15,"5/1/2016 10:14",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"",0,1,1,0,1,3,2,26,"Female","German","Giessen","Bachelor student","in a relationship.",80
3,16,"5/1/2016 11:06",1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,"",0,1,1,0,1,3,2,25,"Female","German","","Master student","in a relationship.",81
3,17,"5/1/2016 20:33",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"",0,1,1,0,0,4,2,25,"Female","Chinese","Berlin","Master student","single",82
3,18,"6/1/2016 0:02",1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,"",1,1,0,0,1,4,1,21,"Male","Taiwanese","Berlin","Bachelor student","in a relationship.",83
3,19,"6/1/2016 0:09",1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,"",0,1,1,0,0,5,5,23,"Female","Taiwanese","Barcelona","Bachelor student","in a relationship.",84
3,20,"6/1/2016 16:20",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",0,1,1,1,0,2,1,24,"Female","German","Frankfurt","Bachelor student","in a relationship.",85
